fecha,tod,dir,bp,pos
2016-10-17,210,-1,-7.54201585277019,0.135651773376322
2016-10-18,125,1,5.254654702549333,0.9103671706267439
2016-10-18,205,1,9.035373897646037,0.8729047315934361
2016-10-19,125,-1,15.8503186336993,-0.02121023081699898
2016-10-19,205,-1,-8.204632740371354,0.1227404193781758
2016-10-20,135,-1,8.09489748498855,0.051458990536180305
2016-10-20,215,-1,1.780523358674691,0.16187671371983156
2016-10-21,125,1,9.803158704651382,0.9040469973890862
2016-10-21,215,1,-17.997742142229086,0.8158484923996892
2016-10-24,125,1,28.90332181187545,1.003081664098541
2016-10-24,205,1,12.800233375196823,0.9439489693461911
2016-10-25,130,-1,3.1719644096554593,0.17930029154521945
2016-10-25,255,1,1.8013734293602206,0.9178021978022458
2016-10-26,135,-1,14.172211890785391,0.18611223253946946
2016-10-26,215,-1,17.55277226233072,0.19079406197071708
2016-10-27,125,1,-1.5579437309394701,0.9373077832977676
2016-10-27,225,1,-15.714310589608083,0.9608673555819456
2016-10-28,130,-1,23.922455519716348,0.120266333749746
2016-10-28,230,-1,-12.268923088462769,0.15533560962960172
2016-10-31,130,1,-5.970645737753566,0.9047165316818472
2016-10-31,240,-1,-3.3955911361989606,0.1392045454545839
2016-11-01,125,-1,1.0586666168692198,0.05611111111142073
2016-11-01,210,-1,10.237562428726932,0.007299270073070526
2016-11-02,135,1,-0.44843972487122985,0.8665777184790892
2016-11-02,220,1,1.3135622770436677,0.8459359605911059
2016-11-03,125,1,-7.390791769927452,0.9223674096850893
2016-11-03,205,-1,-16.414346265045275,0.12132457893227615
2016-11-04,125,-1,-4.471185882563722,0.06728847435080201
2016-11-04,255,-1,7.836444986128299,0.16016814031011867
2016-11-07,130,-1,-6.532025900831284,0.02608922515010429
2016-11-07,235,1,2.982083071648001,0.9034775465498468
2016-11-08,150,1,6.465411528609311,0.8730610134436568
2016-11-08,230,1,-3.603888557448131,0.8638027825238066
2016-11-09,125,-1,-233.78118338477765,0.006223854708671769
2016-11-09,225,1,28.01046003066339,0.8936179643797487
2016-11-10,135,1,44.04472793962318,0.9333244432590994
2016-11-10,215,1,-24.99028656014661,0.8608369202887035
2016-11-11,125,-1,1.700403518608962,0.06229946524044886
2016-11-11,215,-1,30.472210352005384,0.10625620655409258
2016-11-14,160,-1,17.484791263067525,0.03294231078256929
